Date,Artist,Album,Discogs ID,Bandcamp,Apple,Spotify
2022-01-03,Ekin Fil,Feelings,,https://ekinfil.bandcamp.com/album/feelings,,
2022-01-10,Burial,Antidawn EP,,https://burial.bandcamp.com/album/antidawn-ep,,
2022-01-17,Earl Sweatshirt,SICK!,,,,
2022-01-24,Masayoshi Fujita,Bird Ambience,,https://masayoshifujita.bandcamp.com/album/bird-ambience,,
2022-01-31,Yard Act,The Overload,,,,
2022-02-07,Woven Hand,Silver Sash,,https://glitterhouserecords.bandcamp.com/album/silver-sash,,
2022-02-14,Rolo Tomassi,Where Myth Becomes Memory,,https://rolotomassi.bandcamp.com/album/where-myth-becomes-memory,,
2022-02-21,Cate Le Bon,Pompeii,,https://catelebon.bandcamp.com/album/pompeii,,
2022-02-28,Sarah Shook and The Disarmers,Nightroamer,,,,
2022-03-07,Charlotte Adigéry and Bolis Pupul,Topical Dancer,,https://charlotteandbolis.bandcamp.com/album/topical-dancer,,
2022-03-14,Alex Cameron,Oxy Music,,https://alkcm.bandcamp.com/album/oxy-music,,
2022-03-21,ROSALÍA,MOTOMAMI,,,,
2022-03-28,CMAT,If My Wife New I'd Be Dead,,,,
2022-04-04,PUP,THE UNRAVELING OF PUPTHEBAND,,https://puptheband.bandcamp.com/album/the-unraveling-of-puptheband,,
2022-04-11,Wet Leg,Wet Leg,,https://wetleg.bandcamp.com/album/wet-leg,,
2022-04-18,50 Foot Wave,Black Pearl,,https://kristinhershfire.bandcamp.com/album/black-pearl,,
2022-04-25,Kathryn Joseph,for you who are the wronged,,https://kathrynjoseph.bandcamp.com/album/for-you-who-are-the-wronged,,
2022-05-02,Hatchie,Giving The World Away,,https://hatchie.bandcamp.com/album/giving-the-world-away,,
2022-05-09,Sunflower Bean,Headful of Sugar,,https://sunflowerbean.bandcamp.com/album/headful-of-sugar,,
2022-05-16,Ethel Cain,Preacher's Daughter,,,,
2022-05-23,Otoboke Beaver,Super Champon,,https://otobokebeaver.bandcamp.com/album/super-champon,,
2022-05-30,Kendrick Lamar,Mr. Morale & The Big Steppers,,,,
2022-06-06,Christian Lee Hutson,Quitters,,https://christianleehutson.bandcamp.com/album/quitters,,
2022-06-13,Let's Eat Grandma,Two Ribbons,,https://letseatgrandma.bandcamp.com/album/two-ribbons,,
2022-06-20,Nova Twins,Supernova,,,,
2022-06-27,Bartees Strange,Farm To Table,,https://barteesstrange.bandcamp.com/album/farm-to-table,,
2022-07-04,Gwenno,Tresor,,https://gwenno.bandcamp.com/album/tresor,,
2022-07-11,Righteous Fool,Righteous Fool,,https://ripplemusic.bandcamp.com/album/righteous-fool,,
2022-07-18,Working Men's Club,Fear Fear,,https://workingmensclub.bandcamp.com/album/fear-fear,,
2022-07-25,Nina Nastasia,Riderless Horse,,https://ninanastasia.bandcamp.com/album/riderless-horse,,
2022-08-01,Maggie Rogers,Surrender,,https://maggierogersband.bandcamp.com/album/surrender,,
2022-08-08,Kokoroko,Could We Be More,,https://kokoroko.bandcamp.com/album/could-we-be-more,,
2022-08-15,Panda Bear & Sonic Boom,Reset,,https://pandabearmusic.bandcamp.com/album/reset,,
2022-08-22,Danger Mouse and Black Thought,Cheat Codes,,,,
2022-08-29,Russian Circles,Gnosis,,https://russiancircles.bandcamp.com/album/gnosis,,
2022-09-05,Laufey,Everything I Know About Love,,,,
2022-09-12,The Callous Daoboys,Celebrity Therapist,,https://thecallousdaoboys.bandcamp.com/album/celebrity-therapist-2,,
2022-09-19,Yves Jarvis,The Zug,,https://yvesjarvis.bandcamp.com/album/the-zug,,
2022-09-26,Courting,Guitar Music,,https://courtingband.bandcamp.com/album/guitar-music,,
2022-10-03,No Age,People Helping People,,https://noage.bandcamp.com/album/people-helping-people,,
2022-10-10,Petbrick,Liminal,,https://petbrick.bandcamp.com/album/liminal,,
2022-10-17,Lucrecia Dalt,¡Ay!,,https://lucreciadalt.bandcamp.com/album/ay,,
2022-10-24,Brutus,Unison Life,,https://wearebrutus.bandcamp.com/album/unison-life,,
2022-10-31,Lori Goldston,High and Low,,https://lorigoldston.bandcamp.com/album/high-and-low,,
2022-11-07,Devin Townsend,Lightwork,,,,
2022-11-14,Horse Lords,Comradely Objects,,https://horselords.bandcamp.com/album/comradely-objects-2,,
2022-11-21,Richard Dawson,The Ruby Cord,,https://richardmichaeldawson.bandcamp.com/album/the-ruby-cord,,
2022-11-28,Special Interest,Endure,,https://specialinterestno.bandcamp.com/album/endure,,
2022-12-05,Weyes Blood,"And In The Darkness, Hearts Aglow",,https://weyesblood.bandcamp.com/album/and-in-the-darkness-hearts-aglow,,
2022-12-12,Bill Callahan,YTI⅃AƎЯ,,https://billcallahan.bandcamp.com/album/yti-a,,
2022-12-19,Bill Orcutt,Music For Four Guitars,,https://billorcutt.bandcamp.com/album/music-for-four-guitars,,
2022-12-26,Sophie Jamieson,Choosing,,https://sophiejamieson.bandcamp.com/album/choosing,,
2023-01-02,Earth,Even Hell Has Its Heroes,,https://evenhellhasitsheroes.bandcamp.com/album/even-hell-has-its-heroes-original-motion-picture-soundtrack,,
2023-01-09,Anti-Flag,THE LIES THEY TELL OUR CHILDREN,,,,
2023-01-16,Nicole Dollanganger,Married in Mount Airy,,https://nicoledollanganger.bandcamp.com/album/married-in-mount-airy,,
2023-01-23,Rian Treanor and Ocen James,Saccades,,https://nyegenyegetapes.bandcamp.com/album/saccades,,
2023-01-30,Kimbra,A Reckoning,,,,
2023-02-06,Hamish Hawk,Angel Numbers,,https://hhawkofficial.bandcamp.com/album/angel-numbers,,
2023-02-13,The WAEVE,The WAEVE,,https://thewaeve.bandcamp.com/album/the-waeve,,
2023-02-20,Arbor Labor Union,Yonder,,https://arborlaborunion.bandcamp.com/album/yonder,,
2023-02-27,,,,,,
2023-03-06,,,,,,
2023-03-13,,,,,,
